number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
168 ,1 ,1 ,2 ,3 ,1 ,5 ,,3 ,2 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,2 
169 ,1 ,2 ,3 ,2 ,5 ,2 ,1 ,1 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
170 ,1 ,2 ,2 ,3 ,1 ,2 ,5 ,2 ,5 ,3 ,3 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
171 ,1 ,3 ,2 ,4 ,5 ,4 ,1 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,3 
172 ,2 ,1 ,4 ,4 ,5 ,4 ,1 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,5 ,5 ,3 
173 ,2 ,2 ,3 ,4 ,1 ,4 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
174 ,1 ,2 ,2 ,4 ,1 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,1 ,3 ,3 ,2 
175 ,1 ,1 ,3 ,4 ,1 ,5 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,2 
176 ,1 ,1 ,3 ,4 ,5 ,4 ,1 ,2 ,5 ,3 ,2 ,5 ,5 ,5 ,5 ,1 ,2 ,2 ,2 
177 ,1 ,2 ,1 ,4 ,1 ,2 ,5 ,3 ,5 ,3 ,3 ,3 ,2 ,3 ,3 ,1 ,3 ,2 ,2 
178 ,1 ,1 ,1 ,3 ,1 ,1 ,1 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 
179 ,1 ,1 ,1 ,4 ,1 ,2 ,5 ,4 ,4 ,2 ,4 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,2 
180 ,1 ,1 ,1 ,2 ,1 ,5 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
181 ,1 ,1 ,1 ,3 ,5 ,1 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
182 ,1 ,3 ,2 ,3 ,5 ,3 ,1 ,3 ,3 ,3 ,4 ,3 ,3 ,4 ,4 ,1 ,3 ,2 ,3 
