700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  체육시설 개수 :  0,,,  0,  0,검색어 :  체육시설 개수 :  1,,,  1,  1,검색어 :  체육시설 개수 :  5,,,  5,  5
검색어 :  체육시설 개수 :  10,,, 10, 10,검색어 :  체육시설 개수 :  15,,, 15, 15,검색어 :  체육시설 개수 :  45,,, 45, 45
==========[ 도서관 ] ==========,,,===,===,==========[ 도서관 ] ==========,,,===,===,==========[ 도서관 ] ==========,,,===,===
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  10,,, 10, 10
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  2,,,  2,  2,검색어 :  도서관 개수 :  8,,,  8,  8
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  5,,,  5,  5
검색어 :  도서관 개수 :  3,,,  3,  3,검색어 :  도서관 개수 :  8,,,  8,  8,검색어 :  도서관 개수 :  20,,, 20, 20
검색어 :  도서관 개수 :  5,,,  5,  5,검색어 :  도서관 개수 :  9,,,  9,  9,검색어 :  도서관 개수 :  28,,, 28, 28
검색어 :  도서관 개수 :  1,,,  1,  1,검색어 :  도서관 개수 :  7,,,  7,  7,검색어 :  도서관 개수 :  33,,, 33, 33
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  5,,,  5,  5
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  2,,,  2,  2
검색어 :  도서관 개수 :  0,,,  0,  0,검색어 :  도서관 개수 :  2,,,  2,  2,검색어 :  도서관 개수 :  20,,, 20, 20
==========[ 보건소 ] ==========,,,===,===,==========[ 보건소 ] ==========,,,===,===,==========[ 보건소 ] ==========,,,===,===
검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0
검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0
검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0
검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0,검색어 :  보건소 개수 :  0,,,  0,  0
검색어 :  보건소 개수 :  2,,,  2,  2,검색어 :  보건소 개수 :  2,,,  2,  2,검색어 :  보건소 개수 :  3,,,  3,  3
