코리아신탁(주),인천 ,코리아신탁(주),"설립일                            2004년 01월 16일                                (업력 18년)대표자명백인균업종그 외 기타 분류 안된 금융업재무정보매출액 800억원▲영업이익 450억원▲(2021년 기준)전체기업주소서울 강남구 테헤란로 508, 10층","848억 9,213만원",232명
코스모스,인천 ,(주)코스모스,"설립일                            2022년 01월 25일                        대표자명이수희업종응용 소프트웨어 개발 및 공급업기업주소서울 금천구 가산디지털1로 142, 813호",중소기업,업력 1년차
태주산업,인천 ,(주)태주산업,"설립일                            2010년 08월 24일                                (업력 12년)대표자명신헌수업종전기회로 개폐, 보호장치 제조업재무정보매출액 15억원▲(2021년 기준)전체평균연봉5000만원▲                                                            (2021년 기준)전체기업주소서울 중랑구 신내역로 111, 718호",17억 817만원,5명
패튼 서비스,인천 ,패튼 서비스에 대한 검색결과 없음,패튼 서비스에 대한 검색결과 없음,패튼 서비스에 대한 검색결과 없음,패튼 서비스에 대한 검색결과 없음
피에이씰마스터,인천 ,피에이씰마스터에 대한 검색결과 없음,피에이씰마스터에 대한 검색결과 없음,피에이씰마스터에 대한 검색결과 없음,피에이씰마스터에 대한 검색결과 없음
한양인프라,인천 ,(주)한양인프라넷,"설립일                            2008년 04월 29일                                (업력 14년)대표자명김주호업종통신ㆍ방송장비 및 부품 도매업재무정보매출액 7억원▲(2019년 기준)전체평균연봉3500만원▲                                                            (2019년 기준)전체기업주소서울 종로구 삼일대로30길 37, 2층","7억 6,885만원",7명
함애경 아르테크 주안 1021호,인천 ,함애경 아르테크 주안 1021호에 대한 검색결과 없음,함애경 아르테크 주안 1021호에 대한 검색결과 없음,함애경 아르테크 주안 1021호에 대한 검색결과 없음,함애경 아르테크 주안 1021호에 대한 검색결과 없음
현디자인,인천 ,(주)현디자인,"설립일                            1998년 09월 28일                                (업력 24년)대표자명양경복업종기타 옥외 시설물 축조 관련 전문공사업재무정보매출액 130억원▲영업이익 1억원▲(2021년 기준)전체평균연봉4500만원▲                                                            (2021년 기준)전체기업주소서울 송파구 법원로 128, C동 14층 1415호","133억 3,947만원",21명
(주)하나자산신탁,인천 ,(주)하나자산신탁,"설립일                            1999년 06월 15일                                (업력 23년)대표자명민관식업종신탁업 및 집합투자업평균연봉7000만원▲                                                        전체기업주소서울 강남구 테헤란로 127, 15층",175명,업력 24년차
성지테크,인천 ,성지테크(주),설립일                            2019년 05월 13일                                (업력 3년)대표자명윤명호업종그 외 기타 분류 안된 금속 가공 제품 제조업재무정보매출액 40억원▲영업이익 3억원▲(2021년 기준)전체평균연봉4000만원▲                                                            (2021년 기준)전체기업주소전북 군산시 자유무역3길 61,"44억 4,920만원",5명
